DS18B20_Temp	DHT11_Temp
27.55	24.40
27.55	24.40
27.55	24.40
27.55	24.40
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
27.55	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.50
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
26.59	24.40
25.63	24.40
25.63	24.40
25.63	24.40
25.63	24.40
25.63	24.50
25.63	24.50
25.63	24.60
25.63	24.60
25.63	24.70
26.59	24.70
26.59	24.80
26.59	24.80
26.59	25.00
26.59	25.00
26.59	25.00
26.59	25.00
26.59	25.20
26.59	25.20
26.59	25.30
26.59	25.30
26.59	25.40
26.59	25.40
26.59	25.50
26.59	25.50
26.59	25.60
26.59	25.60
26.59	25.80
26.59	25.80
26.59	25.80
26.59	25.80
26.59	26.00
26.59	26.00
26.59	26.10
26.59	26.10
26.59	26.20
26.59	26.20
26.59	26.40
26.59	26.40
26.59	26.40
26.59	26.40
26.59	26.60
26.59	26.60
26.59	26.70
26.59	26.70
26.59	26.90
26.59	26.90
26.59	27.00
26.59	27.00
26.59	27.10
26.59	27.10
26.59	27.30
26.59	27.30
26.59	27.40
26.59	27.40
26.59	27.50
26.59	27.50
26.59	27.70
26.59	27.70
26.59	27.80
26.59	27.80
26.59	27.90
26.59	27.90
26.59	28.00
26.59	28.00
26.59	28.10
26.59	28.10
27.55	28.30
27.55	28.30
27.55	28.50
27.55	28.50
27.55	28.70
28.51	28.70
28.51	28.90
27.55	28.90
27.55	29.10
28.51	29.10
28.51	29.20
28.51	29.20
28.51	29.40
28.51	29.40
28.51	29.50
28.51	29.50
28.51	29.70
28.51	29.70
28.51	29.70
28.51	29.70
28.51	29.70
28.51	29.70
28.51	29.80
28.51	29.80
29.47	30.00
29.47	30.00
29.47	30.10
29.47	30.10
29.47	30.30
29.47	30.30
28.51	30.40
28.51	30.40
28.51	30.50
28.51	30.50
28.51	30.50
28.51	30.50
28.51	30.50
28.51	30.50
28.51	30.60
28.51	30.60
28.51	30.60
28.51	30.60
28.51	30.70
28.51	30.70
28.51	30.80
28.51	30.80
28.51	30.90
28.51	30.90
28.51	30.90
28.51	30.90
28.51	31.00
28.51	31.00
28.51	31.10
28.51	31.10
28.51	31.20
28.51	31.20
28.51	31.20
28.51	31.20
28.51	31.30
28.51	31.30
28.51	31.40
28.51	31.40
29.47	31.50
29.47	31.50
29.47	31.70
29.47	31.70
30.43	31.80
31.39	31.80
31.39	32.20
31.39	32.20
31.39	32.60
31.39	32.60
31.39	32.80
31.39	32.80
31.39	33.00
31.39	33.00
31.39	33.00
31.39	33.00
31.39	33.00
31.39	33.00
31.39	33.00
31.39	33.00
31.39	33.10
30.43	33.10
30.43	33.10
30.43	33.10
30.43	33.10
30.43	33.10
30.43	33.10
30.43	33.10
30.43	33.20
30.43	33.20
30.43	33.20
30.43	33.20
30.43	33.20
30.43	33.20
30.43	33.30
30.43	33.30
30.43	33.40
31.39	33.40
31.39	33.50
31.39	33.50
31.39	33.60
32.35	33.60
34.28	33.70
35.24	33.70
35.24	34.10
35.24	34.10
35.24	34.80
35.24	34.80
34.28	35.10
34.28	35.10
34.28	35.30
33.31	35.30
33.31	35.10
33.31	35.10
33.31	35.10
32.35	35.10
32.35	35.00
33.31	35.00
33.31	35.00
33.31	35.00
34.28	35.00
34.28	35.00
35.24	35.30
35.24	35.30
35.24	35.50
35.24	35.50
35.24	35.70
34.28	35.70
34.28	35.70
34.28	35.70
34.28	35.70
34.28	35.70
34.28	35.70
34.28	35.70
34.28	35.70
34.28	35.70
35.24	35.80
35.24	35.80
36.20	35.90
35.24	35.90
36.20	36.10
37.16	36.10
37.16	36.10
37.16	36.10
37.16	36.40
37.16	36.40
37.16	36.50
39.08	36.50
40.04	36.70
39.08	36.70
39.08	36.90
39.08	36.90
41.00	37.10
43.89	37.10
43.89	37.50
43.89	37.50
42.93	38.80
42.93	38.80
42.93	39.10
41.96	39.10
41.96	39.20
42.93	39.20
42.93	39.30
41.96	39.30
41.96	39.30
41.00	39.30
