EpochTT	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ
1746522538.5581632	194	22.70	0.06	0.02	1.04	-96.15	-6.90	-4.80
1746522538.5692606	192	22.70	0.05	0.03	1.01	-96.30	-6.00	-6.00
1746522538.5855696	194	22.70	0.06	0.02	1.04	-96.15	-6.90	-4.80
1746522538.5872953	192	22.70	0.05	0.03	1.01	-96.30	-6.00	-6.00
1746522538.5913131	192	22.70	0.05	0.03	1.02	-154.50	274.35	-119.40
1746522538.97188	231	22.70	0.05	0.03	1.02	-143.10	250.65	-121.35
1746522539.6267393	55	22.70	0.05	0.03	1.02	-133.50	241.20	-111.45
1746522540.3356156	193	22.70	0.05	0.03	1.01	-134.85	240.45	-106.35
1746522541.0441782	193	22.70	0.05	0.03	1.02	-156.00	-57.45	26.25
1746522541.7534382	193	22.70	0.05	0.05	1.02	-39.15	-162.15	143.40
1746522542.4620643	193	22.70	0.06	0.03	1.02	-23.85	-191.25	110.10
1746522543.1705573	192	22.70	0.05	0.03	1.02	-18.15	-233.85	111.90
1746522543.8794851	192	22.70	0.06	0.03	1.02	-256.35	1.50	114.60
1746522544.5881393	193	22.70	0.05	0.03	1.02	-245.25	13.65	98.70
1746522545.299541	193	22.70	0.05	0.05	1.02	-226.65	14.10	89.55
1746522546.0086815	193	22.70	0.05	0.03	1.02	-95.25	-4.20	18.00
1746522546.716821	193	22.70	0.05	0.03	1.02	-70.35	-1.65	249.60
1746522547.425355	194	22.70	0.05	0.05	1.02	-85.20	-10.80	183.30
1746522548.1354606	193	22.70	0.05	0.03	1.02	-110.85	-6.60	45.30
1746522548.843454	223	22.70	0.05	0.03	1.01	-96.90	-6.15	-5.70
1746522549.4982655	14	22.70	0.06	0.03	1.01	-97.05	-6.00	-5.85
1746522550.1504197	8	22.70	-0.09	0.14	1.10	-87.90	-4.35	-7.35
1746522550.861397	193	22.80	-0.46	0.14	0.99	-73.20	-9.75	-25.05
1746522551.5257556	231	22.60	-0.54	0.19	0.83	-64.95	-5.85	-30.90
1746522552.1766973	213	22.70	-0.50	0.22	0.85	-64.50	-6.90	-32.70
1746522552.8308918	188	22.70	-0.50	0.20	0.85	-66.45	-7.35	-31.50
1746522553.4795127	147	22.70	-0.52	0.13	0.87	-70.35	-5.25	-24.45
1746522554.1876802	188	22.80	-0.55	0.09	0.83	-70.80	-4.35	-23.70
1746522554.8423064	10	22.70	-0.55	0.11	0.82	-71.10	-4.35	-23.40
1746522555.4942849	33	22.80	-0.55	0.11	0.82	-71.55	-4.20	-23.40
1746522556.1490388	19	22.70	-0.57	0.11	0.82	-71.70	-4.05	-22.80
1746522556.8014908	10	22.70	-0.55	0.08	0.82	-73.35	-3.45	-20.85
1746522557.45642	94	22.80	-0.55	0.09	0.83	-72.90	-1.50	-21.00
1746522558.1076667	131	22.80	-0.58	0.09	0.83	-73.65	-1.80	-20.70
1746522558.7588508	206	22.80	-0.60	0.09	0.80	-72.30	-2.10	-21.90
1746522559.4153862	137	22.80	-0.60	0.08	0.79	-73.35	-1.20	-21.00
1746522560.0615683	240	22.80	-0.60	0.09	0.80	-73.80	-1.50	-19.80
1746522560.7744	187	22.70	-0.58	0.08	0.82	-74.25	-0.75	-20.10
1746522561.4412775	188	22.80	-0.60	0.08	0.80	-73.35	-0.45	-21.45
1746522562.1502368	187	22.80	-0.61	0.08	0.79	-73.65	-2.10	-21.75
1746522562.8595471	186	22.80	-0.35	0.19	0.91	-67.65	-7.65	-22.05
1746522563.5175638	6	22.80	-0.94	-0.13	0.80	-67.20	0.00	-14.40
1746522564.227151	184	22.80	-0.16	0.11	0.88	-66.60	2.70	-19.20
1746522564.9099133	76	22.80	0.19	0.24	1.17	-66.45	9.90	-17.70
1746522565.619077	191	22.70	-0.58	0.06	0.82	-66.75	12.30	-19.35
1746522566.2756748	48	22.80	-0.74	-0.08	0.72	-66.00	8.10	-22.80
1746522566.9867363	190	22.80	0.06	0.28	1.20	-65.40	11.85	-24.60
1746522567.6957574	186	22.80	0.02	0.09	0.91	-65.10	18.90	-21.30
1746522568.3510392	28	22.80	-0.06	0.05	1.02	-70.20	33.00	-9.30
1746522569.0023518	100	22.80	-0.05	0.05	1.02	-71.85	33.60	-8.85
